geneSymbol	diseaseName
NAT2	Tethered Cord Syndrome
NAT2	Industrial Dermatosis
NAT2	Iniencephaly
NAT2	Craniorachischisis
NAT2	Exencephaly
NAT2	Spinal Cord Myelodysplasia
NAT2	Malignant neoplasm of liver
NAT2	Malignant mesothelioma
NAT2	Malignant neoplasm of prostate
NAT2	Breast Carcinoma
NAT2	Acrania
NAT2	Drug-Induced Liver Disease
NAT2	Mammary Neoplasms, Human
NAT2	Hepatitis, Drug-Induced
NAT2	Mammary Neoplasms
NAT2	Coronary Artery Disease
NAT2	Precursor Cell Lymphoblastic Leukemia Lymphoma
NAT2	Drug-Induced Acute Liver Injury
NAT2	Chemical and Drug Induced Liver Injury
NAT2	Chemically-Induced Liver Toxicity
SERPINA3	Lipoidosis
SERPINA3	Prostatic Neoplasms
SERPINA3	Psychotic Disorders
SERPINA3	Nonorganic psychosis
SERPINA3	Malignant neoplasm of prostate
AADAC	Liver Cirrhosis, Experimental
AANAT	Depression, Bipolar
AANAT	Mental Depression
AANAT	Depressive disorder
AANAT	Delayed Sleep Phase Syndrome
AANAT	Nonorganic Sleep Wake Cycle Disorders
AANAT	Advanced Sleep Phase Syndrome
AANAT	Non-24 Hour Sleep-Wake Disorder
AANAT	Shift-Work Sleep Disorder
AANAT	Sleep Disorders, Circadian Rhythm
AARS	Ataxias, Hereditary
AARS	Charcot-Marie-Tooth Disease
AARS	Epileptic encephalopathy
AARS	Charcot-Marie-Tooth Disease, Axonal, Type 2n
AARS	Intellectual Disability
AARS	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29
ABAT	Autistic Disorder
ABAT	Gastroesophageal reflux disease
ABAT	Jacksonian Seizure
ABAT	Lethargy
ABAT	Liver Cirrhosis, Experimental
ABAT	Flaccid Muscle Tone
ABAT	Muscle hypotonia
ABAT	Psychomotor Disorders
ABAT	Reflex, Abnormal
ABAT	Seizures
ABAT	Complex partial seizures
ABAT	Reflex, Corneal, Decreased
ABAT	Hyporeflexia
ABAT	Hyperreflexia
ABAT	Absent reflex
ABAT	Generalized seizures
ABAT	Seizures, Clonic
ABAT	Reflex, Gag, Absent
ABAT	Reflex, Deep Tendon, Absent
ABAT	Visual seizure
ABAT	Tonic Seizures
ABAT	Epileptic drop attack
ABAT	Hoffman's Reflex
ABAT	Reflex, Pendular
ABAT	Reflex, Corneal, Absent
ABAT	Gamma aminobutyric acid transaminase deficiency
ABAT	Seizures, Somatosensory
ABAT	Seizures, Auditory
ABAT	Olfactory seizure
ABAT	Gustatory seizure
ABAT	Vertiginous seizure
ABAT	Floppy Muscles
ABAT	Muscle Tone Atonic
ABAT	Tonic - clonic seizures
ABAT	Reflex, Acoustic, Abnormal
ABAT	Epileptic encephalopathy
ABAT	Reflex, Ankle, Absent
ABAT	Reflex, Triceps, Absent
ABAT	Reflex, Biceps, Absent
ABAT	Reflex, Anal, Absent
ABAT	Psychomotor Impairment
ABAT	Abnormal Deep Tendon Reflex
ABAT	Non-epileptic convulsion
ABAT	Single Seizure
ABAT	Atonic Absence Seizures
ABAT	Unilateral Hypotonia
ABAT	Developmental Psychomotor Disorders
ABAT	Bulbocavernosus Reflex, Decreased
ABAT	Bulbocavernousus Reflex Absent
ABAT	Palmo-Mental Reflex
ABAT	Reflex, Anal, Decreased
ABAT	Reflex, Ankle, Abnormal
ABAT	Reflex, Ankle, Decreased
ABAT	Reflex, Biceps, Abnormal
ABAT	Reflex, Biceps, Decreased
ABAT	Reflex, Gag, Decreased
ABAT	Reflex, Knee, Abnormal
ABAT	Reflex, Knee, Decreased
ABAT	Reflex, Moro, Asymmetric
ABAT	Reflex, Triceps, Abnormal
ABAT	Reflex, Triceps, Decreased
ABAT	Convulsive Seizures
ABAT	Seizures, Focal
ABAT	Seizures, Sensory
ABAT	Mitochondrial Diseases
ABAT	Neonatal Hypotonia
ABAT	Nonepileptic Seizures
ABAT	Intellectual Disability
ABAT	Convulsions
ABAT	Absence Seizures
ABAT	Epileptic Seizures
ABAT	Myoclonic Seizures
ABAT	Generalized Absence Seizures
ABCA1	Atherosclerosis
ABCA1	Colorectal Carcinoma
ABCA1	Colorectal Neoplasms
ABCA1	Hypercholesterolemia
ABCA1	Hypercholesterolemia, Familial
ABCA1	Kidney Failure, Chronic
ABCA1	Peripheral Neuropathy
ABCA1	Schizophrenia
ABCA1	Tangier Disease
ABCA1	Apolipoprotein A-I deficiency
ABCA1	Hypoalphalipoproteinemias
ABCA1	Hyperlipoproteinemia Type IIa
ABCA1	Tangier Disease Neuropathy
ABCA1	Colorectal Cancer
ABCA1	Atherogenesis
ABCA1	Hyperlipoproteinemia Type IIb
ABCA1	Hypoalphalipoproteinemia, Familial
ABCA1	Familial HDL deficiency
ABCA1	High density lipoprotein deficiency
ABCA1	LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 2
ABCA1	Hdl Deficiency, Type 2
ABCA3	Malignant neoplasm of breast
ABCA3	Colorectal Carcinoma
ABCA3	Colorectal Neoplasms
ABCA3	Pathological accumulation of air in tissues
ABCA3	Hyaline Membrane Disease
ABCA3	Pulmonary Hypertension
ABCA3	Pulmonary Fibrosis
ABCA3	Respiratory Distress Syndrome, Newborn
ABCA3	Hamman-Rich syndrome
ABCA3	Respiratory Distress Syndrome
ABCA3	Colorectal Cancer
ABCA3	Idiopathic Pulmonary Fibrosis
ABCA3	Abnormality of the cornea
ABCA3	Surfactant Metabolism Dysfunction, Pulmonary, 3
ABCB7	Sideroblastic anemia
ABCB7	Ataxia
ABCB7	Ataxias, Hereditary
ABCB7	Cytopenia
ABCB7	Congenital anemia
ABCB7	Ataxia, Sensory
ABCB7	Ataxia, Motor
ABCB7	Ataxia, Truncal
ABCB7	Abnormal coordination
ABCB7	Ataxia, Appendicular
ABCB7	Tremor, Rubral
ABCB7	Mitochondrial Diseases
ABCB7	ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA
ABCB7	Intellectual Disability
ABCF1	Hypersensitivity
ABCF1	Pneumonia
ABCF1	Lobar Pneumonia
ABCF1	Disease Exacerbation
ABCF1	Experimental Lung Inflammation
ABCF1	Allergic Reaction
ABCF1	Pneumonitis
ABCA4	Malignant neoplasm of breast
ABCA4	Cleft upper lip
ABCA4	Colorectal Carcinoma
ABCA4	Colorectal Neoplasms
ABCA4	Retinitis Pigmentosa
ABCA4	Age related macular degeneration
ABCA4	Stargardt's disease
ABCA4	Colorectal Cancer
ABCA4	STARGARDT DISEASE 1 (disorder)
ABCA4	Retinal Dystrophy, Early Onset Severe
ABCA4	CONE-ROD DYSTROPHY 3 (disorder)
ABCA4	RETINITIS PIGMENTOSA 19
ABCA4	Macular Degeneration, Age-Related, 2
ABCA4	Juvenile macular degeneration
ABL1	Adenocarcinoma
ABL1	Bone Diseases, Developmental
ABL1	Malignant neoplasm of breast
ABL1	Burkitt Lymphoma
ABL1	Cytopenia
ABL1	Esophageal Neoplasms
ABL1	Failure to Thrive
ABL1	Congenital Heart Defects
ABL1	Childhood Acute Lymphoblastic Leukemia
ABL1	Leukemia, Lymphocytic, Acute, L2
ABL1	Myeloid Leukemia, Chronic
ABL1	Liver neoplasms
ABL1	melanoma
ABL1	Neoplasms, Experimental
ABL1	Precancerous Conditions
ABL1	Congenital musculoskeletal anomalies
ABL1	Congenital anemia
ABL1	Adenocarcinoma, Basal Cell
ABL1	Adenocarcinoma, Oxyphilic
ABL1	Carcinoma, Cribriform
ABL1	Carcinoma, Granular Cell
ABL1	Adenocarcinoma, Tubular
ABL1	Condition, Preneoplastic
ABL1	Malignant neoplasm of liver
ABL1	Large cell carcinoma of lung
ABL1	Malignant neoplasm of esophagus
ABL1	Carcinogenesis
ABL1	Breast Carcinoma
ABL1	Mammary Neoplasms, Human
ABL1	Precursor B-cell lymphoblastic leukemia
ABL1	Mammary Neoplasms
ABL1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
ABL1	Precursor Cell Lymphoblastic Leukemia Lymphoma
ABL1	CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME
AOC1	Cardiomegaly
AOC1	Hypertensive disease
AOC1	Cardiac Hypertrophy
ABO	Alcoholic Intoxication, Chronic
ABO	Coronary Arteriosclerosis
ABO	Curling Ulcer
ABO	Duodenal Ulcer
ABO	Pancreatic Neoplasm
ABO	Prostatic Neoplasms
ABO	Cerebrovascular accident
ABO	Alcohol abuse
ABO	Malignant neoplasm of pancreas
ABO	Malignant neoplasm of prostate
ABO	Mood Disorders
ABO	Epithelial ovarian cancer
ABO	Acute Cerebrovascular Accidents
ABO	Coronary Artery Disease
ABR	Prostatic Neoplasms
ABR	Malignant neoplasm of prostate
ACACA	Heart failure
ACACA	Congestive heart failure
ACACA	Left-Sided Heart Failure
ACACA	Heart Failure, Right-Sided
ACACA	Acetyl-CoA: carboxylase deficiency
ACACA	Colorectal Cancer
ACACA	Myocardial Failure
ACACA	Heart Decompensation
ACACA	Liver carcinoma
ACACB	Insulin Resistance
ACACB	Obesity
ACACB	Insulin Sensitivity
ACACB	Pancreatic Ductal Adenocarcinoma
ACADL	Long chain acyl-CoA dehydrogenase deficiency
ACADL	Hyperammonemia
ACADM	Arthrogryposis
ACADM	Malignant neoplasm of breast
ACADM	Obesity
ACADM	Rhabdomyolysis
ACADM	Weight Gain
ACADM	Liver Failure
ACADM	Medium-chain acyl-coenzyme A dehydrogenase deficiency
ACADM	Hyperammonemia
ACADM	Necrotizing Enterocolitis
ACADM	Intellectual Disability
ACADS	Arthrogryposis
ACADS	Bipolar Disorder
ACADS	Hyperammonemia
ACADS	Deficiency of butyryl-CoA dehydrogenase
ACADS	Intellectual Disability
ACADSB	Autistic Disorder
ACADSB	2-Methylbutyryl-CoA Dehydrogenase Deficiency
ACADSB	Intellectual Disability
ACADVL	Anoxemia
ACADVL	Anoxia
ACADVL	Arthrogryposis
ACADVL	Hypertrophic Cardiomyopathy
ACADVL	Rhabdomyolysis
ACADVL	Hyperammonemia
ACADVL	Hypoxia
ACADVL	Hypoxemia
ACADVL	Intellectual Disability
ACADVL	Very long chain acyl-CoA dehydrogenase deficiency
ACAT1	Jacksonian Seizure
ACAT1	Kidney Failure, Chronic
ACAT1	Liver Cirrhosis, Experimental
ACAT1	Seizures
ACAT1	Complex partial seizures
ACAT1	Generalized seizures
ACAT1	Seizures, Clonic
ACAT1	Visual seizure
ACAT1	Tonic Seizures
ACAT1	Epileptic drop attack
ACAT1	Ketotic hypoglycemia
ACAT1	Seizures, Somatosensory
ACAT1	Seizures, Auditory
ACAT1	Olfactory seizure
ACAT1	Gustatory seizure
ACAT1	Vertiginous seizure
ACAT1	Tonic - clonic seizures
ACAT1	Non-epileptic convulsion
ACAT1	Single Seizure
ACAT1	Atonic Absence Seizures
ACAT1	Convulsive Seizures
ACAT1	Seizures, Focal
ACAT1	Seizures, Sensory
ACAT1	Deficiency of acetyl-CoA acetyltransferase
ACAT1	Nonepileptic Seizures
ACAT1	Intellectual Disability
ACAT1	Convulsions
ACAT1	Absence Seizures
ACAT1	Epileptic Seizures
ACAT1	Myoclonic Seizures
ACAT1	Generalized Absence Seizures
ACAT2	Cytosolic acetoacetyl-CoA thiolase deficiency
ASIC2	Autistic Disorder
ASIC2	Inflammation
ASIC1	Brain Ischemia
ASIC1	Inflammation
ASIC1	Injuries, Acute Brain
ASIC1	Brain Injuries
ASIC1	Brain Lacerations
ASIC1	Brain Injuries, Focal
ASIC1	Cerebral Ischemia
ACHE	Alzheimer's Disease
ACHE	Amyloidosis
ACHE	Malignant neoplasm of breast
ACHE	Renal Cell Carcinoma
ACHE	Presenile dementia
ACHE	Drug toxicity
ACHE	Growth Disorders
ACHE	Jacksonian Seizure
ACHE	Learning Disorders
ACHE	Liver Cirrhosis, Experimental
ACHE	Memory Disorders
ACHE	Movement Disorders
ACHE	Muscular Dystrophy
ACHE	nervous system disorder
ACHE	Obesity
ACHE	Poisoning
ACHE	Prostatic Neoplasms
ACHE	Schizophrenia
ACHE	Seizures
ACHE	Tremor
ACHE	Saturnine Tremor
ACHE	Adverse reaction to drug
ACHE	Prenatal Injuries
ACHE	Senile Tremor
ACHE	Complex partial seizures
ACHE	Memory impairment
ACHE	Persistent Tremor
ACHE	Continuous Tremor
ACHE	Intermittent Tremor
ACHE	Fine Tremor
ACHE	Coarse Tremor
ACHE	Massive Tremor
ACHE	Action Tremor
ACHE	Passive Tremor
ACHE	Static Tremor
ACHE	Resting Tremor
ACHE	Darkness Tremor
ACHE	Generalized seizures
ACHE	Seizures, Clonic
ACHE	Tremor, Perioral
ACHE	Tremor, Limb
ACHE	Tremor, Muscle
ACHE	Nerve Tremors
ACHE	Tremor, Neonatal
ACHE	Amphetamine-Related Disorders
ACHE	Amphetamine Addiction
ACHE	Amphetamine Abuse
ACHE	Etat Marbre
ACHE	Visual seizure
ACHE	Tonic Seizures
ACHE	Epileptic drop attack
ACHE	Familial Alzheimer Disease (FAD)
ACHE	Conventional (Clear Cell) Renal Cell Carcinoma
ACHE	Organophosphorus Poisoning
ACHE	Malignant neoplasm of prostate
ACHE	Seizures, Somatosensory
ACHE	Seizures, Auditory
ACHE	Olfactory seizure
ACHE	Gustatory seizure
ACHE	Vertiginous seizure
ACHE	Alzheimer Disease, Late Onset
ACHE	Tonic - clonic seizures
ACHE	Acute Confusional Senile Dementia
ACHE	Breast Carcinoma
ACHE	Organophosphate poisoning
ACHE	Alzheimer's Disease, Focal Onset
ACHE	Alzheimer Disease, Early Onset
ACHE	Non-epileptic convulsion
ACHE	Single Seizure
ACHE	Atonic Absence Seizures
ACHE	Adult Learning Disorders
ACHE	Learning Disturbance
ACHE	Learning Disabilities
ACHE	Age-Related Memory Disorders
ACHE	Memory Disorder, Semantic
ACHE	Memory Disorder, Spatial
ACHE	Memory Loss
ACHE	Convulsive Seizures
ACHE	Seizures, Focal
ACHE	Seizures, Sensory
ACHE	Pill Rolling Tremor
ACHE	Tremor, Semirhythmic
ACHE	Mammary Neoplasms, Human
ACHE	Chromophobe Renal Cell Carcinoma
ACHE	Sarcomatoid Renal Cell Carcinoma
ACHE	Collecting Duct Carcinoma of the Kidney
ACHE	Papillary Renal Cell Carcinoma
ACHE	Developmental Academic Disorder
ACHE	Mammary Neoplasms
ACHE	Involuntary Quiver
ACHE	Organothiophosphonate Poisoning
ACHE	Organothiophosphate Poisoning
ACHE	Nonepileptic Seizures
ACHE	Convulsions
ACHE	Absence Seizures
ACHE	Epileptic Seizures
ACHE	Myoclonic Seizures
ACHE	Generalized Absence Seizures
ACLY	Heart failure
ACLY	Congestive heart failure
ACLY	Left-Sided Heart Failure
ACLY	Obesity
ACLY	Heart Failure, Right-Sided
ACLY	Myocardial Failure
ACLY	Heart Decompensation
ACLY	Liver carcinoma
ACO1	Neoplasm Invasiveness
ACO1	Degenerative polyarthritis
ACO1	Osteoarthrosis Deformans
ACO2	Malignant neoplasm of breast
ACO2	Respiratory Distress Syndrome, Adult
ACO2	Mitochondrial Diseases
ACO2	Liver carcinoma
ACO2	INFANTILE CEREBELLAR-RETINAL DEGENERATION
ACO2	Intellectual Disability
ACO2	OPTIC ATROPHY 9
ACOX1	Alloxan Diabetes
ACOX1	Diabetes Mellitus, Experimental
ACOX1	Leukodystrophy
ACOX1	Streptozotocin Diabetes
ACOX1	Peroxisomal Disorders
ACOX1	Epileptic encephalopathy
ACOX1	Peroxisomal ACYL-COA oxidase deficiency
ACOX1	Liver carcinoma
ACOX1	Intellectual Disability
ACP1	Schizophrenia
ACP1	Unipolar Depression
ACP1	Major Depressive Disorder
ACP2	Acid Phosphatase Deficiency
ACP5	Hyperparathyroidism, Secondary
ACP5	Liver Cirrhosis, Experimental
ACP5	Obesity
ACP5	Osteogenesis Imperfecta
ACP5	Spondyloenchondrodysplasia
ACP5	SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION
ACP5	Intellectual Disability
ACPP	Juvenile-Onset Still Disease
ACPP	Juvenile arthritis
ACPP	Juvenile psoriatic arthritis
ACTA1	Arthrogryposis
ACTA1	Hypertrophic Cardiomyopathy
ACTA1	Left Ventricular Hypertrophy
ACTA1	Centronuclear myopathy
ACTA1	Myopathies, Nemaline
ACTA1	Congenital myopathy (disorder)
ACTA1	Zebra body myopathy
ACTA1	Eichsfeld type congenital muscular dystrophy
ACTA1	X-linked centronuclear myopathy
ACTA1	Tubular Aggregate Myopathy
ACTA1	Nemaline Myopathy, Childhood Onset
ACTA1	Congenital Fiber Type Disproportion
ACTA1	Congenital muscular dystrophy (disorder)
ACTA1	Distal Muscular Dystrophies
ACTA1	Congenital Structural Myopathy
ACTA1	Cardiomyopathy, Hypertrophic, Familial
ACTA1	Myopathy, Actin, Congenital, with Excess of Thin Myofilaments
ACTA1	Myopathy, Centronuclear, Autosomal Dominant
ACTA1	Nemaline Myopathy 3, With Intranuclear Rods
ACTA1	Myopathy, Actin, Congenital, With Cores
ACTA1	Autosomal Recessive Centronuclear Myopathy
ACTA1	Autosomal Dominant Myotubular Myopathy
ACTA1	Actin-Accumulation Myopathy
ACTA1	MYOPATHY, SCAPULOHUMEROPERONEAL
ACTA2	Cholestasis, Extrahepatic
ACTA2	Malignant neoplasm of breast
ACTA2	Malignant tumor of colon
ACTA2	Cerebrovascular Disorders
ACTA2	Colonic Neoplasms
ACTA2	Ehlers-Danlos Syndrome
ACTA2	Endometriosis
ACTA2	Fetal Growth Retardation
ACTA2	Focal glomerulosclerosis
ACTA2	Hepatitis, Chronic
ACTA2	Ischemia
ACTA2	Kidney Diseases
ACTA2	Liver Cirrhosis
ACTA2	Liver Cirrhosis, Experimental
ACTA2	Liver diseases
ACTA2	Marfan Syndrome
ACTA2	Moyamoya Disease
ACTA2	Myocardial Infarction
ACTA2	Systemic Scleroderma
ACTA2	Hyalinosis, Segmental Glomerular
ACTA2	Liver Dysfunction
ACTA2	Chronic Persistent Hepatitis
ACTA2	Aortic Aneurysm, Thoracic
ACTA2	Fibrosis, Liver
ACTA2	Endometrioma
ACTA2	Aortic Aneurysm, Thoracoabdominal
ACTA2	Congenital aneurysm of ascending aorta
ACTA2	Chronic active hepatitis
ACTA2	Cryptogenic Chronic Hepatitis
ACTA2	Breast Carcinoma
ACTA2	Mammary Neoplasms, Human
ACTA2	Mammary Neoplasms
ACTA2	Nephrogenic Fibrosing Dermopathy
ACTA2	Copper-Overload Cirrhosis
ACTA2	Cakut
ACTA2	Aortic Aneurysm, Familial Thoracic 6
ACTA2	Moyamoya disease 1
ACTA2	MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME
ACTA2	MOYAMOYA DISEASE 5
ACTA2	Intellectual Disability
ACTB	Anoxemia
ACTB	Anoxia
ACTB	Bipolar Disorder
ACTB	Carcinoma
ACTB	Congenital ocular coloboma (disorder)
ACTB	Craniosynostosis
ACTB	Dysostoses
ACTB	Dystonia
ACTB	Esophageal Neoplasms
ACTB	Sensorineural Hearing Loss (disorder)
ACTB	Lung Neoplasms
ACTB	Animal Mammary Neoplasms
ACTB	Mammary Neoplasms, Experimental
ACTB	Neoplasm Invasiveness
ACTB	Degenerative polyarthritis
ACTB	Schizophrenia
ACTB	Osteoarthrosis Deformans
ACTB	Myocardial Ischemia
ACTB	Anaplastic carcinoma
ACTB	Carcinoma, Spindle-Cell
ACTB	Undifferentiated carcinoma
ACTB	Carcinomatosis
ACTB	Hypoxia
ACTB	Malignant neoplasm of lung
ACTB	Pigmented hairy epidermal nevus
ACTB	Cranioschisis
ACTB	Craniofacial Abnormalities
ACTB	Dystonia, Paroxysmal
ACTB	Dystonia, Diurnal
ACTB	Congenital neurologic anomalies
ACTB	Malignant neoplasm of esophagus
ACTB	Hypoxemia
ACTB	Dystonia, Limb
ACTB	Mammary Carcinoma, Animal
ACTB	Sensory hearing loss
ACTB	Juvenile-onset dystonia
ACTB	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
ACTB	Becker Nevus Syndrome
ACTB	Malformations of Cortical Development
ACTB	Liver carcinoma
ACTB	Intellectual Disability
ACTC1	Cardiomyopathy, Dilated
ACTC1	Hypertrophic Cardiomyopathy
ACTC1	Charcot-Marie-Tooth Disease
ACTC1	Malignant neoplasm of stomach
ACTC1	Precancerous Conditions
ACTC1	Refractive Errors
ACTC1	Stomach Neoplasms
ACTC1	Conduction disorder of the heart
ACTC1	Condition, Preneoplastic
ACTC1	Familial dilated cardiomyopathy
ACTC1	Ostium secundum atrial septal defect
ACTC1	Cardiomyopathy, Hypertrophic, Familial
ACTC1	Cardiomyopathy, Familial Idiopathic
ACTC1	Ametropia
ACTC1	Hereditary Diffuse Gastric Cancer
ACTC1	Left ventricular noncompaction
ACTC1	Cardiomyopathy, Familial Hypertrophic, 11
ACTC1	Atrial Septal Defect 5
ACTC1	CARDIOMYOPATHY, DILATED, 1R
ACTC1	LEFT VENTRICULAR NONCOMPACTION 4
ACTC1	Left ventricular noncompaction cardiomyopathy
ACTG1	Osteoporosis, Age-Related
ACTG1	Carcinoma
ACTG1	Neoplastic Cell Transformation
ACTG1	Congenital ocular coloboma (disorder)
ACTG1	Craniosynostosis
ACTG1	Animal Mammary Neoplasms
ACTG1	Mammary Neoplasms, Experimental
ACTG1	Osteoporosis
ACTG1	Osteoporosis, Senile
ACTG1	Anaplastic carcinoma
ACTG1	Carcinoma, Spindle-Cell
ACTG1	Undifferentiated carcinoma
ACTG1	Carcinomatosis
ACTG1	Cranioschisis
ACTG1	Congenital coloboma of iris
ACTG1	Craniofacial Abnormalities
ACTG1	Congenital neurologic anomalies
ACTG1	Post-Traumatic Osteoporosis
ACTG1	Acute Coronary Syndrome
ACTG1	Mammary Carcinoma, Animal
ACTG1	Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation
ACTG1	Deafness, Autosomal Dominant 20
ACTG1	Malformations of Cortical Development
ACTG1	BARAITSER-WINTER SYNDROME 2
ACTG1	Intellectual Disability
ACTG2	Malignant tumor of colon
ACTG2	Colonic Neoplasms
ACTG2	Visceral Myopathy
ACTG2	Visceral Myopathy, Familial
ACTG2	Megacystis microcolon intestinal hypoperistalsis syndrome
ACTG2	Megaduodenum and-or Megacystis
ACTG2	Visceral Neuropathy, Familial, Autosomal Dominant
ACTG2	Cakut
ACTN4	Carcinoma
ACTN4	Focal glomerulosclerosis
ACTN4	Animal Mammary Neoplasms
ACTN4	Mammary Neoplasms, Experimental
ACTN4	Hyalinosis, Segmental Glomerular
ACTN4	Anaplastic carcinoma
ACTN4	Carcinoma, Spindle-Cell
ACTN4	Undifferentiated carcinoma
ACTN4	Carcinomatosis
ACTN4	Segmental glomerulosclerosis
ACTN4	Mammary Carcinoma, Animal
ACTL6A	Intellectual Disability
ACTN1	Liver Cirrhosis, Experimental
ACTN1	BLEEDING DISORDER, PLATELET-TYPE, 15
ACTN1	Autosomal dominant macrothrombocytopenia
ACTN2	Cardiomyopathy, Dilated
ACTN2	Hypertrophic Cardiomyopathy
ACTN2	Charcot-Marie-Tooth Disease
ACTN2	Conduction disorder of the heart
ACTN2	Familial dilated cardiomyopathy
ACTN2	Cardiomyopathy, Dilated, 1AA
ACTN2	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 23, WITH OR WITHOUT VENTRICULAR NONCOMPACTION
ACVR1	Astrocytoma
ACVR1	Malignant neoplasm of breast
ACVR1	Ehlers-Danlos Syndrome
ACVR1	Fibrodysplasia Ossificans Progressiva
ACVR1	Glioma
ACVR1	melanoma
ACVR1	Myositis Ossificans
ACVR1	Subependymal Giant Cell Astrocytoma
ACVR1	Acute Lung Injury
ACVR1	mixed gliomas
ACVR1	Juvenile Pilocytic Astrocytoma
ACVR1	Diffuse Astrocytoma
ACVR1	Anaplastic astrocytoma
ACVR1	Protoplasmic astrocytoma
ACVR1	Gemistocytic astrocytoma
ACVR1	Fibrillary Astrocytoma
ACVR1	Pilocytic Astrocytoma
ACVR1	Childhood Cerebral Astrocytoma
ACVR1	Congenital aneurysm of ascending aorta
ACVR1	Mixed oligoastrocytoma
ACVR1	Malignant Glioma
ACVR1	Breast Carcinoma
ACVR1	Cerebral Astrocytoma
ACVR1	Intracranial Astrocytoma
ACVR1	Mammary Neoplasms, Human
ACVR1	Mammary Neoplasms
ACVR1	Grade I Astrocytoma
ACVR1	Intellectual Disability
ACVR2A	Gastric Adenocarcinoma
ACVR2A	Microsatellite Instability
ACVR2A	Replication Error Phenotype
ACVR2B	Situs Inversus
ACVR2B	Asplenia Syndrome
ACVR2B	Polysplenia Syndrome
ACVR2B	Situs ambiguus
ACVR2B	Situs ambiguous
ACVR2B	HETEROTAXY, VISCERAL, 4, AUTOSOMAL
ACVR2B	Heterotaxy Syndrome
ACVR2B	Right Atrial Isomerism
ACVR2B	Left Atrial Isomerism
ACVR2B	Ciliopathies
ACVRL1	Cerebrovascular Disorders
ACVRL1	Pulmonary Hypertension
ACVRL1	Hereditary hemorrhagic telangiectasia
ACVRL1	Aortic Aneurysm, Thoracic
ACVRL1	Familial primary pulmonary hypertension
ACVRL1	Familial pulmonary arterial hypertension
ACVRL1	HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION
ACVRL1	OSLER-RENDU-WEBER SYNDROME 2
ACVRL1	Pulmonary arterial hypertension
ACVRL1	Idiopathic pulmonary arterial hypertension
ACVRL1	Vascular Remodeling
ACVRL1	Pulmonary Arterial Remodeling
ACY1	Malignant neoplasm of breast
ACY1	Renal Cell Carcinoma
ACY1	Precancerous Conditions
ACY1	Conventional (Clear Cell) Renal Cell Carcinoma
ACY1	Condition, Preneoplastic
ACY1	Chromophobe Renal Cell Carcinoma
ACY1	Sarcomatoid Renal Cell Carcinoma
ACY1	Collecting Duct Carcinoma of the Kidney
ACY1	Papillary Renal Cell Carcinoma
