,CLASS,SENTENCE
15,gene_disease,"Overall, we found IL-6 levels were 3 fold elevated (based on mean values) in keratoconus samples compared to control subjects (Table 2 and Figure 1), confirming a previous report of increased IL-6 in keratoconus [8]. "
16,gene_disease,"IL-1β was essentially unchanged, while the remaining cytokines showed decreased levels in our keratoconus samples. "
17,gene_disease,"The decrease in TNF-α seen here, contradicts an earlier observation of increased TNF-α in keratoconus. "
18,gene_disease,"Despite the resulting decrease in sample size, IL-12, TNF-α and CCL5 showed even stronger effects in severe keratoconus. "
19,gene_disease,"The IFN-γ decrease in keratoconus compared to controls was significant by Mann-Whitney testing (p = 0.02, analysis not shown), but not by multivariate analysis, where the large variance of the measurements appeared to diminish its significance (Table 3). "
20,gene_disease,"Of the TH2-related cytokines, the decrease in IL-13 was statistically significant in severe keratoconus versus control subjects. "
21,gene_disease,The multiplex immuno-bead assay could not detect IL-17 in control or keratoconus tear samples. 
22,gene_disease,"The multiplex data implicate reductions in TH1 (IL-12, TNF-α, IFN-γ), and possibly TH2 cytokines (IL-4 and IL-13) in keratoconus. "
23,gene_disease,"IFN-γ was detectable and showed a decrease in keratoconus compared to pooled control samples but without statistical significance (p = 0.5, data not shown). "
24,gene_disease,IL-17 was detectable in one control and 3 keratoconus pools in one experimental set. 
25,gene_disease,"Based on these limited data (Figure 3), there was a trend towards increased IL-17 (72.5±59.2 pg/ml) in keratoconus tear fluids compared to control samples (18.5±7.8 pg/ml). "
26,gene_disease,"The decrease in IL-4 in the keratoconus pool (7.6±5 pg/ml), compared to controls (14.2±8.6 pg/ml) was statistically significant (p≤0.05, Mann-Whitney test). "
27,gene_disease,"The increase in IL-17 in keratoconus samples (72.5±59.2 pg/ml) compared to controls (18.5±7.8 pg/ml), was statistically significant (p≤0.05, Mann-Whitney test). "
28,gene_disease,"Others have examined isolated cytokines by conventional sandwich ELISA and reported concentrations of IL-6, TNF-α and IL-10 in control and keratoconus subjects [8], [13]. "
29,gene_disease,"Comparing tear fluid cytokines in the control and keratoconus subjects, we noted an increase in IL-6 in keratoconus, in agreement with earlier reports [8], [13]. "
30,gene_disease,The latter observation disagrees with an earlier report of a small increase in TNF-α of keratoconus tear fluids. 
31,gene_disease,"IL-12 promotes the differentiation of TH1 cells; its decrease in keratoconus is consistent with decreases in two signature TH1 cytokines, IFN-γ and TNF-α. "
32,gene_disease,"In severe keratoconus, IL-12 and TNF-α decreases were more pronounced and this may play a role in increased IL-17 and associated tissue degenerative processes. "
33,gene_disease,"Both IL-4 and IL-13 cytokines were also reduced in keratoconus, and the decrease in IL-4, as measured by conventional ELISA, was statistically significant. "
34,gene_disease,"Thus, decreases in IL-4 and IL-13 suggest that TH2 responses may be dampened in keratoconus. "
35,gene_disease,"Based on the reported link between atopy and keratoconus, it is conceivable that IL-4 levels would be higher in the keratoconus group. "
36,gene_disease,"Thus, separate from atopy, the decrease in IL-4 we see may be pertinent to the pathophysiology of keratoconus itself. "
37,gene_disease,Decreased IL-4 in keratoconus may have broad immune and non-immune consequences [17] that should be considered in the context of corneal thinning and abnormal stromal extracellular matrix (ECM). 
38,gene_disease,"While its implication in hepatic disease is over-induction of STAT-6, increased collagen, and fibrosis, reduction of normal levels of IL-4 in the corneal environment may tip the balance toward poor stromal keratocyte cell survival, oxidative stress, altered collagen and ECM stability associated with keratoconus [20], [21], [22], [23]. "
39,gene_disease,"Moreover, IL-6 levels were increased in the tear fluid of keratoconus patients as indicated in this study and reported earlier [8]. "
40,gene_disease,"Indeed, whether relative TGF-β and IL-6 levels are altered sufficiently in keratoconus ocular tissues are not known at this time. "
41,gene_disease,Additional immunohistology of conjunctiva impressions will be needed to further address the source of IL-17 producing cells and the validity of an IL-17 mediated inflammation and tissue damage in keratoconus. 
42,gene_disease,Phosphoproteomic analysis of anaplastic lymphoma kinase (ALK) downstream signaling pathways identifies signal transducer and activator of transcription 3 as a functional target of activated ALK in neuroblastoma cells 
43,gene_disease,Activation of the anaplastic lymphoma kinase (ALK) receptor tyrosine kinase is a key oncogenic mechanism in a growing number of tumor types. 
44,other,"It is now also appreciated that the full-length ALK receptor can be activated by point mutations and by deletions within the extracellular domain, such as those observed in neuroblastoma. "
45,gene_disease,We show here that activated ALK robustly activates STAT3 on Tyr705 in a number of independent neuroblastoma cell lines. 
46,other,"These observations, together with a decreased level of MYCN and inhibition of neuroblastoma cell growth in the presence of STAT3 inhibitors, suggest that activation of STAT3 is important for ALK signaling activity in neuroblastoma. "
47,gene_disease,"Recently, tyrosine kinase inhibitors targeting anaplastic lymphoma kinase (ALK) have been approved for the treatment of ALK-positive non-small-cell-lung-cancer (NSCLC) 2. "
48,other,"In NSCLC, ALK activation occurs via chromosomal translocation, leading to activation of the kinase domain. "
49,other,"However, ALK is also known to be mutated in the context of the full-length receptor tyrosine kinase (RTK), this being most clearly understood in neuroblastoma. "
50,gene_disease,ALK gain-of-function mutations have been described in both familial 5–6 and sporadic 6–10 neuroblastoma. 
51,other,"Although there is currently no clinically approved specific treatment for ALK mutations in neuroblastoma, ongoing clinical trials are being conducted to determine the potential usefulness of ALK-targeted therapies for use in future treatment approaches 11. "
52,other,"Today, crizotinib (PF-02341066) is in use as a Food and Drug Administration-approved drug for the treatment of ALK-positive NSCLC 12. "
53,gene_disease,"Clinical studies today suggest that anti-ALK inhibitor therapy offers promise in the treatment of ALK-mediated tumors 2,11. "
54,other,"Phase I/II studies of crizotinib in children with relapsed/refractory tumors involving ALK, including neuroblastoma patients, have been initiated (ClinicalTrials.gov, NCT01182896) 23. "
55,gene_disease,"Furthermore, identified downstream targets of ALK detected in this phosphoprofiling, such as mitogen-activated protein kinase (MAPK)1, MAPK3 [extracellular signal-related kinase (ERK)2/1], glycogen synthase kinase-3α, STAT3, FAK, and CRKL (Table S1), showed decreased phosphorylation upon abrogation of ALK activity in several neuroblastoma cell lines (Fig. S1). "
56,other,"Given recent observations that ALK regulates MYCN transcription in neuroblastoma cells and collaborates with MYCN in neuroblastoma pathogenesis 34–37, we decided to investigate a role for STAT3 in this process. "
57,other,"Initially, we employed small interfering RNA (siRNA) targeting STAT3 in a number of neuroblastoma cell lines, including CBL-GE, CBL-BAR, CBL-GA and Kelly cells. "
58,other,"These neuroblastoma cell lines are all ALK gain-of-function in nature, containing either an activated ALK mutation (ALKR1275Q, CBL-GA; ALKF1174V, CLB-GE; ALKF1174L, Kelly) or overexpressing an ALK receptor with an extracellular domain deletion (CLB-BARΔexon 4–12), and express different levels of MYCN (Fig. S3) 38,39. "
59,other,"Two independent STAT3 siRNAs (#1 or #2) were employed to downregulate STAT3 levels in CLB-GE (A), CLB-BAR (B), Kelly (C) and CLB-GA (D) neuroblastoma cell lines. "
60,other,"We investigated ALK, STAT3 and MYCN levels in CLB-GE, CLB-BAR, Kelly and CLB-GA neuroblastoma cell lines upon treatment with STAT3 inhibitors (Fig. 4A–D). "
61,other,"Neuroblastoma cell lines CLB-GE (A), CLB-BAR (B), Kelly (C) and CLB-GA (D) were starved and treated with either 250 nm crizotinib (24 h), 5 μm FLLL32 (8 h), 5 μm STATTIC (8 h), or control, as indicated. "
62,other,"To investigate further whether STAT3 is involved in ALK-activated initiation of MYCN transcription, we employed an MYCNP–luciferase assay in two independent neuroblastoma cell lines 36. "
63,other,Neuroblastoma cell lines treated with STATTIC or FLLL32 for 24 h showed a significant reduction in MYCN mRNA levels in comparison with untreated cells (Fig. 5B). 
64,other,(B) qRT-PCR of MYCN mRNA in neuroblastoma cell lines. 
65,gene_disease,STAT3 activity is required for growth and viability of neuroblastoma cells 
66,gene_disease,We then investigated whether STAT3 is not only important for initiation of MYCN transcription but also might influence the proliferation of our neuroblastoma cell lines. 
67,other,"In this analysis, we employed CLB-GE, CLB-BAR, Kelly and CLB-GA neuroblastoma cell lines, measuring their growth in response to treatment with the STAT3 inhibitor FLLL32 or STAT3 siRNA. "
68,other,"Furthermore, it was clear that treatment of neuroblastoma cell lines with either FLLL32 or crizotinib reduced the phosphorylation status of STAT3 to a similar degree, without increasing cleavage of poly(ADP-ribose) polymerase (PARP), which was used as a measure of apoptosis (Fig. 6C). "
69,gene_disease,Loss of STAT3 function decreases neuroblastoma cell proliferation. 
70,other,"Although it was not investigated in this study, it would be of interest to examine the importance of STAT3 phosphorylation in neuroblastoma cells harboring a wild-type nonactive ALK receptor. "
71,other,"This hypothesis is supported by inhibition of the NB1 neuroblastoma cells lines with crizotinib, which resulted in a loss of pSTAT3Y705, although the significance of STAT3 for cell growth was not discussed 54. "
72,gene_disease,"Although the precise molecular mechanisms underlying ALK activation of STAT3 are unknown, it is clear from these studies that loss of STAT3 activity, either by RNA interference-mediated knockdown of STAT3 or by addition of STAT3 inhibitors 41,42, reduces the growth and viability of four neuroblastoma lines. "
73,other,"Recent work has highlighted the cooperative roles of ALK and MYCN in neuroblastoma, with ALK impacting on both the level of MYCN transcription and the stability of the MYCN protein itself 34–37. "
74,gene_disease,"This work suggests that STAT3 inhibition may be a viable approach in the regulation of MYCN activity in neuroblastoma cells, and may have potential therapeutic value in the future. "
75,other,0.05%Pb resulted in glucose intolerance and insulin resistance of rats 
76,other,"In our research, we found that 0.05%Pb water exposure brought about weight gain and insulin resistance as well as glucose intolerance in the NCD rats, accompanied by elevated serum TG as well as hepatic lipid accumulation, which were not seen in the other two dosages (0.15% and 0.45%) of NCD groups. "
77,gene_disease,Influence of wild-type MLL on glucocorticoid sensitivity and response to DNA-damage in pediatric acute lymphoblastic leukemia 
78,gene_disease,Rearrangement of the mixed-lineage leukemia gene (MLL) is found in 80% of infant acute lymphoblastic leukemia (ALL) and is associated with poor prognosis and resistance to glucocorticoids (GCs). 
79,gene_disease,"Analysis of MLL expression patterns revealed a negative relationship with cellular metabolism, proliferation and anti-apoptotic transcriptional networks. In silico analysis of published data demonstrated that reduced levels of MLL mRNA are associated with relapse and prednisolone resistance in T-ALL patients and adverse clinical outcome in children with MLL-rearranged ALL. "
80,gene_disease,The data suggests that reduced expression of wild-type MLL can contribute to GC resistance in ALL patients both with and without MLL-translocations. 
81,gene_disease,"Rearrangement of the mixed lineage leukemia gene (MLL) gene affects 80% of ALL in infants and is associated with a particularly poor prognosis [2,3]. MLL is located at 11q23 and encodes a histone methyltransferase that through its regulation of HOX genes is essential for normal mammalian development and hematopoiesis [4]. "
82,gene_disease,"Whilst translocations of the MLL gene are prevalent in infant ALL they are infrequent in T-ALL [8,9,22], suggesting that the observed correlation reflected expression of the wild-type gene. "
83,gene_disease,For further evidence of a link between MLL expression and GC resistance we examined a dataset we have previously published comparing gene expression patterns in pediatric ALL specimens taken at the time of diagnosis and relapse [14]. 
84,gene_disease,To assess the degree with which endogenous MLL expression levels vary in primary ALL patient specimens we analyzed data published by Ross et al who performed gene expression profiling of pediatric ALL subtypes [18]. 
85,gene_disease,"Figure 3A shows that of all the pediatric ALL subtypes, the widest variations in MLL expression levels are found in patients with T-lineage ALL and those with MLL-rearrangements. "
86,other,To examine the prognostic relevance of MLL expression variation in patients with MLL-disease we examined a publication describing the use of Affymetrix HG-U95v2 microarrays to examine gene expression patterns in ALL patients with MLL-rearrangements [16]. 
87,gene_disease,This highlights the tumor suppressor role of these proteins and is consistent with the protection from DNA-damage we have observed following MLL-knockdown in T-ALL cell lines. 
88,gene_disease,"In that study ectopic expression of mirR-221 and miR128 was shown to affect levels of MLL, MLL-fusions and GC sensitivity in ALL cell lines [37], consistent with the hypothesis that levels of MLL expression are important for GC resistance. "
89,gene_disease,"Although loss-of heterozygosity (LOH) at the MLL locus has been reported to be a relatively frequent event in childhood ALL, consistent with a potential role as a tumor suppressor [38], this is not the case in patients with MLL-disease where one wild-type copy of MLL appears to be retained [38-40]. "
90,other,However Whitman et al have recently demonstrated that in myeloid leukemia MLL partial tandem duplications (PTD) are associated with silencing of the wild-type MLL copy through an autoregulatory mechanism involving altered methylation [41]. 
91,gene_disease,Other workers have recently demonstrated down-regulation of wild-type MLL in myeloid leukemia patients with different types of rearranged-MLL [42] suggesting that it may be a common feature of MLL-related leukemia. 
92,gene_disease,"Based on the evidence presented we hypothesize that GC resistance in patients with MLL-disease may partly result from decreased expression and tumor suppressive effects of wild-type MLL, either through a gene-dosage effect following the functional loss of one allele via translocation, auto-regulation from the MLL-fusion protein, or altered miRNA/transcription factor signaling. "
93,gene_disease,It is possible that this effect could originate from the loss of tumor suppressor function of the wild-type MLL as well as from direct anti-apoptotic effects of the fusion protein. 
94,gene_disease,"The most outstanding example of the importance of glucan phosphatases in human biology is the Lafora disease, an autosomal recessive disorder which causes neuronal deterioration with accumulation of insoluble, intracellular, hyperphosphorylated carbohydrates called Lafora bodies [18, 19]. "
95,gene_disease,"Lafora disease is caused by mutations in either the gene encoding Laforin (a glucan phosphatase) or Malin (an E3 ubiquitin ligase) [12, 18, 19]. "
96,other,These data therefore show that the presence of inulin and particularly FOS reduced the inflammatory response of macrophages to bacterial infection. 
97,other,Effect of inulin and FOS on inflammatory response of macrophages against P. aeruginosa (WT). 
98,other,"To assess the impact of inulin and FOS on the inflammatory response, the role of the NF-κB and MAPK signalling pathways in the FOS-mediated modulation of macrophages was assessed. "
99,other,Effect of inulin and FOS on inflammatory response of macrophages against WT P. aeruginosa and its isogenic mutants ptxS and ptxR. 
100,gene_disease,"Inhibition of the rate-limiting enzyme, indoleamine 2,3-dioxygenase (IDO), prevents the development of many of these inflammation-induced preclinical behaviors. "
101,gene_disease,"The rate-limiting enzyme that metabolizes tryptophan to kynurenine, indoleamine 2,3-dioxygenase (IDO, Figure 1), is potently upregulated by pro-inflammatory cytokines.12 Inflammation-associated depression scores in human patients are associated with an elevated kynurenine/tryptophan ratio, an indicator of IDO activity,13 and numerous preclinical mouse models have established IDO-dependent kynurenine metabolism as an important mediator of inflammation-induced depressive-like behaviors.14, 15, 16, 17, 18 Interestingly, microglia are the predominant cells expressing the enzyme (kynurenine 3-monooxygenase, KMO, Figure 1) for the generation of neurotoxic kynurenine metabolites, and reports in both human19 and in mice20 have implicated microglial-derived21, 22 downstream neurotoxic kynurenine metabolites in the pathogenesis of inflammation-associated depression; however, mechanistic studies are yet to be performed. "
102,gene_disease,"We and others have demonstrated that IDO, the rate-limiting step of kynurenine metabolism (Figure 1), directly mediates the induction of depressive-like behaviors in response to peripheral immune challenge in preclinical models.14, 16, 33 However, the generation of neuroactive kynurenine metabolites occurs downstream of IDO.20 Whereas emergent clinical and preclinical data suggest that shifting the balance of downstream kynurenine metabolism to favor production of neurotoxic kynurenines drives depressive symptoms,19, 20 no mechanistic studies have been performed to directly test this hypothesis. "
103,gene_disease,"However, targeting IDO does not provide any indication of which neuroactive downstream metabolites are responsible for driving inflammation-induced behavioral phenotypes. "
