label,text
Negative,"In human prostate cancer cells, knockdown of ILK expression with siRNA, or inhibition of ILK activity, results in significant inhibition of HIF-1alpha and VEGF expression."
Negative,"In human prostate cancer cells, knockdown of ILK expression with siRNA, or inhibition of ILK activity, results in significant inhibition of HIF-1alpha and VEGF expression."
Negative,"In human prostate cancer cells, knockdown of ILK expression with siRNA, or inhibition of ILK activity, results in significant inhibition of HIF-1alpha and VEGF expression."
Negative,"In human prostate cancer cells, knockdown of ILK expression with siRNA, or inhibition of ILK activity, results in significant inhibition of HIF-1alpha and VEGF expression."
Negative,"In human prostate cancer cells, knockdown of ILK expression with siRNA, or inhibition of ILK activity, results in significant inhibition of HIF-1alpha and VEGF expression."
Negative,"In human prostate cancer cells, knockdown of ILK expression with siRNA, or inhibition of ILK activity, results in significant inhibition of HIF-1alpha and VEGF expression."
Negative,Inhibition of ILK activity also inhibits prostate tumor angiogenesis and suppresses tumor growth.
Positive,"GRP78 up-regulation is associated with androgen receptor status, Hsp70-Hsp90 client proteins and castrate-resistant prostate cancer."
Positive,"In keeping with our clinical data, activation of AR by dihydrotestosterone (DHT) potently activated GRP78 expression in both LNCaP and LNCaP-CR cells."
Positive,"In keeping with our clinical data, activation of AR by dihydrotestosterone (DHT) potently activated GRP78 expression in both LNCaP and LNCaP-CR cells."
Positive,Up-regulated expression of AR and GRP78 expression in untreated prostate cancer predicts a less favourable outcome.
Positive,TRPV6 and prostate cancer: cancer growth beyond the prostate correlates with increased TRPV6 Ca2+ channel expression.
Negative,"In vitro and in vivo xenograft experiments in NOD/SCID mice further demonstrated that SOX2 increased the apoptosis-resistant properties of DU145 cells with decreased function of store-operated Ca(2+) entry and reduced expression of Orai1 at both mRNA and protein levels, suggesting a potential mechanism that contributes to the anti-apoptotic property of SOX2."
Positive,"TSPO expression is increased in prostatic intraepithelial neoplasia, primary prostate cancer, and metastases compared with normal prostate tissue and benign prostatic hyperplasia."
Negative,These data suggest that blocking TSPO function in tumor cells induces cell death and denotes a survival role for TSPO in prostate cancer and provides the first evidence for the use of benzodiazepines in prostate cancer therapeutics.
Positive,To evaluate retrospectively the effectiveness of transurethral resection of the prostate (TURP) in diagnosing prostate cancer in patients with obstructive voiding symptoms and a history of negative transrectal prostate biopsy but elevated prostate-specific antigen (PSA) and/or abnormal digital rectal examination (DRE).
Positive,Increased levels of plasma haemoxygenase-1 in prostate cancer.
Negative,"PDLIM4 mRNA and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and PC3 prostate cancer cells."
Negative,"PDLIM4 mRNA and protein-expression levels were reduced in LNCaP, LAPC4, DU145, CWR22, and PC3 prostate cancer cells."
Positive,Overexpression of PIM-1 is a potential biomarker in prostate carcinoma.
Negative,Methylseleninic acid enhances taxane drug efficacy against human prostate cancer and down-regulates antiapoptotic proteins Bcl-XL and survivin.
Negative,Methylseleninic acid enhances taxane drug efficacy against human prostate cancer and down-regulates antiapoptotic proteins Bcl-XL and survivin.
Negative,"Compared with BPH, the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05)."
Negative,"Compared with BPH, the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05)."
Negative,"Compared with BPH, the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05)."
Negative,"Compared with BPH, the PCa patients showed decreased expressions of miR-98, let-7d and let-7g, and decreased expressions of miR-96, miR-182 and miR-183, with statistically significant differences between the two groups (P &lt; 0.05)."
Positive,"With the treatment of 9-cis RA, the NKX3.1 promoter activity was increased in reporter gene assay and NKX3.1 expression was enhanced at both mRNA and protein levels in LNCaP cells."
Positive,"With the treatment of 9-cis RA, the NKX3.1 promoter activity was increased in reporter gene assay and NKX3.1 expression was enhanced at both mRNA and protein levels in LNCaP cells."
Positive,"Our results demonstrated that 9-cis RA as a differentiating agent can arrest prostate cancer cells in G(1) phase and reduce cell mitosis, and upregulate the expression of human homeobox gene NKX3.1, which is thought to play an important role in prostate differentiation and to act as a tumor suppressor gene in the prostate."
Positive,Our findings indicate that bcl-2 expression is augmented following androgen ablation and is correlated with the progression of prostate cancer from androgen dependence to androgen independence.
Positive,"A novel component of the ubiquitin pathway, ubiquitin carboxyl extension protein 1 is overexpressed in prostate cancer."
Positive,Using this approach we found an up-regulation of ubiquitin carboxyl extension protein 1 (UBCEP-1) mRNA in prostate carcinoma cells compared to the normal glandular epithelium of the prostate proper.
Positive,Using this approach we found an up-regulation of ubiquitin carboxyl extension protein 1 (UBCEP-1) mRNA in prostate carcinoma cells compared to the normal glandular epithelium of the prostate proper.
Positive,Up-regulation of c-Jun-NH2-kinase pathway contributes to the induction of mitochondria-mediated apoptosis by alpha-tocopheryl succinate in human prostate cancer cells.
Negative,"Down-regulation of beta 1C integrin, an inhibitor of cell proliferation, in prostate carcinoma."
Negative,"In the adjacent prostate adenocarcinoma glands, the beta 1C variant was dramatically down-regulated in 27 of 34 (79%) analyzed cases, whereas the expression and distribution of its wild-type counterpart, beta 1A, remained unchanged."
Negative,Our findings indicate a significant reduction in p27Kip1 immunoreactivity in HGPIN (P&lt;0.0001) and prostate cancer (P&lt;0.0001) compared with the benign tissue.
Negative,Resveratrol- and EGCG-induced apoptosis is associated with a significant down-regulation of CK2 activity and protein expression in both the ALVA-41 and PC-3 cells.
Negative,Resveratrol- and EGCG-induced apoptosis is associated with a significant down-regulation of CK2 activity and protein expression in both the ALVA-41 and PC-3 cells.
Positive,Overexpression of CK2alpha protected prostatic cancer cells against resveratrol- and EGCG-induced apoptosis.
Negative,"The frequencies of loss for areas known to be frequently deleted in prostate cancer, such as 6q, 8p, or 13q, were not different between the two groups."
Negative,"The study suggests that IGF-II has a role in regulating AR expression in prostate cancer cells, and that the action of anti-androgens is mediated partly by an ability to suppress IGF-II expression."
Negative,"Isosilybin B (10-90 microM) treatment decreased the AR and prostate specific antigen (PSA) levels in LNCaP, 22Rv1 and LAPC4 cells, but not in non-neoplastic human prostate epithelial PWR-1E cells."
Negative,"Isosilybin B (10-90 microM) treatment decreased the AR and prostate specific antigen (PSA) levels in LNCaP, 22Rv1 and LAPC4 cells, but not in non-neoplastic human prostate epithelial PWR-1E cells."
Negative,"Isosilybin B (10-90 microM) treatment decreased the AR and prostate specific antigen (PSA) levels in LNCaP, 22Rv1 and LAPC4 cells, but not in non-neoplastic human prostate epithelial PWR-1E cells."
Positive,"Hepatocyte growth factor up-regulates the expression of the bone morphogenetic protein (BMP) receptors, BMPR-IB and BMPR-II, in human prostate cancer cells."
Positive,"Hepatocyte growth factor up-regulates the expression of the bone morphogenetic protein (BMP) receptors, BMPR-IB and BMPR-II, in human prostate cancer cells."
Positive,"Hepatocyte growth factor up-regulates the expression of the bone morphogenetic protein (BMP) receptors, BMPR-IB and BMPR-II, in human prostate cancer cells."
Positive,"In a murine prostate tumour model, infusion of recombinant HGF resulted in an increase in the levels of both BMPR-IB and BMPR-II transcript in prostate tumours."
Positive,"In a murine prostate tumour model, infusion of recombinant HGF resulted in an increase in the levels of both BMPR-IB and BMPR-II transcript in prostate tumours."
Positive,"In conclusion, HGF up-regulates the expression of the bone morphogenetic protein receptors, BMPR-IB and BMPR-II, in prostate cancer cells, both in vitro and in vivo."
Positive,"In conclusion, HGF up-regulates the expression of the bone morphogenetic protein receptors, BMPR-IB and BMPR-II, in prostate cancer cells, both in vitro and in vivo."
Positive,"In conclusion, HGF up-regulates the expression of the bone morphogenetic protein receptors, BMPR-IB and BMPR-II, in prostate cancer cells, both in vitro and in vivo."
Positive,"3,3'-diindolylmethane induction of p75NTR-dependent cell death via the p38 mitogen-activated protein kinase pathway in prostate cancer cells."
Positive,Transfection of the PC-3 prostate cell line with a dominant-negative form of p75(NTR) before DIM treatment significantly rescued cell survival demonstrating a cause and effect relationship between DIM induction of p75(NTR) levels and inhibition of survival.
Positive,Transfection of the PC-3 prostate cell line with a dominant-negative form of p75(NTR) before DIM treatment significantly rescued cell survival demonstrating a cause and effect relationship between DIM induction of p75(NTR) levels and inhibition of survival.
Positive,"Furthermore, siRNA knockdown of the p38 mitogen-activated protein kinase (MAPK) protein prevented induction of p75(NTR) by DIM in the PC-3 prostate cell line."
Positive,"Furthermore, siRNA knockdown of the p38 mitogen-activated protein kinase (MAPK) protein prevented induction of p75(NTR) by DIM in the PC-3 prostate cell line."
Positive,Activation of mitogen-activated protein kinase pathway by the antiandrogen hydroxyflutamide in androgen receptor-negative prostate cancer cells.
Positive,We found a significant increase of activated mitogen-activated protein (MAP) kinase in prostate tumors from patients receiving HF during androgen ablation therapy.
Positive,We found a significant increase of activated mitogen-activated protein (MAP) kinase in prostate tumors from patients receiving HF during androgen ablation therapy.
Negative,"In the CM of BPH stromal cells, IGFBP-2 levels were dramatically reduced to less than 20% of normal (P &lt; 0.001)."
Positive,Northern blot analysis of mRNA from normal and BPH stromal cells demonstrated a 5-fold decrease in IGFBP-2 mRNA (P &lt; 0.001) and a 4-fold increase in IGFBP-5 mRNA (P &lt; 0.01) in BPH compared to normal cells.
Negative,Northern blot analysis of mRNA from normal and BPH stromal cells demonstrated a 5-fold decrease in IGFBP-2 mRNA (P &lt; 0.001) and a 4-fold increase in IGFBP-5 mRNA (P &lt; 0.01) in BPH compared to normal cells.
Positive,"These findings are consistent with a role for increased DHT levels in the prostate through increased activity of the SRD5A2 locus in prostate cancer progression, in a subset of patients."
Negative,Inhibition of telomerase with human telomerase reverse transcriptase antisense increases the sensitivity of tumor necrosis factor-alpha-induced apoptosis in prostate cancer cells.
Negative,"hTERT AS PS-ODN can significantly inhibit telomerase activity by downregulating the hTERT mRNA and protein expression, and inhibition of telomerase with hTERT antisense can enhance TNF-alpha-induced apoptosis of PC3 cells."
Negative,"hTERT AS PS-ODN can significantly inhibit telomerase activity by downregulating the hTERT mRNA and protein expression, and inhibition of telomerase with hTERT antisense can enhance TNF-alpha-induced apoptosis of PC3 cells."
Negative,"Inhibition of the Akt, cyclooxygenase-2, and matrix metalloproteinase-9 pathways in combination with androgen deprivation therapy: potential therapeutic approaches for prostate cancer."
Negative,"Inhibition of the Akt, cyclooxygenase-2, and matrix metalloproteinase-9 pathways in combination with androgen deprivation therapy: potential therapeutic approaches for prostate cancer."
Positive,"Previous studies by us and others, with androgen-sensitive prostate cancer cell lines, have demonstrated that androgen deprivation results in activation/overexpression of Akt, COX-2, and MMP-9 in cells."
Positive,"R-(+) equol and S-(-) equol inhibited motility and invasion in PC3 and DU145 cells, while the most strong effect was observed in PC3 cells by R-(+) equol, which might regulated by the activation of estrogen receptor-alpha."
Positive,"Induction of p27(kip1) by 2,4,3',5'- tetramethoxystilbene is regulated by protein phosphatase 2A-dependent Akt dephosphorylation in PC-3 prostate cancer cells."
Positive,"Induction of p27(kip1) by 2,4,3',5'- tetramethoxystilbene is regulated by protein phosphatase 2A-dependent Akt dephosphorylation in PC-3 prostate cancer cells."
Positive,"These results suggest that TMS may inhibit the cell cycle through induction of p27(kip1), leading to apoptotic cell death in PC-3 prostate cancer cells."
Positive,"These results suggest that TMS may inhibit the cell cycle through induction of p27(kip1), leading to apoptotic cell death in PC-3 prostate cancer cells."
Negative,Our results support ongoing therapeutic attempts of EGFR inhibition in subgroups of patients with prostate cancer.
Positive,"We also found that the expression of tumour necrosis factor receptor 2 and death receptor 3 (DR3) was increased in PC3 cells, and the expression of FAS and DR3 was increased in SW620 cells by co-culture with NK-92 cells."
Positive,"We also found that the expression of tumour necrosis factor receptor 2 and death receptor 3 (DR3) was increased in PC3 cells, and the expression of FAS and DR3 was increased in SW620 cells by co-culture with NK-92 cells."
Positive,"We also found that the expression of tumour necrosis factor receptor 2 and death receptor 3 (DR3) was increased in PC3 cells, and the expression of FAS and DR3 was increased in SW620 cells by co-culture with NK-92 cells."
Positive,"We also found that the expression of tumour necrosis factor receptor 2 and death receptor 3 (DR3) was increased in PC3 cells, and the expression of FAS and DR3 was increased in SW620 cells by co-culture with NK-92 cells."
